23/04/2018 00:00:00	4,34	85	13.142,41
24/04/2018 00:00:00	5,24	29	23.157,67
25/04/2018 00:00:00	5,00	70	24.581,52
26/04/2018 00:00:00	5,26	107	43.067,96
27/04/2018 00:00:00	6,12	281	84.497,16
28/04/2018 00:00:00	2,86	327	4.947,74
29/04/2018 00:00:00	6,15	243	57.480,26
30/04/2018 00:00:00	4,45	245	13.695,56
01/05/2018 00:00:00	4,50	237	36.386,12
02/05/2018 00:00:00	7,14	231	72.832,74
03/05/2018 00:00:00	5,17	73	51.422,26
04/05/2018 00:00:00	6,89	88	132.304,60
05/05/2018 00:00:00	7,86	91	124.000,50
06/05/2018 00:00:00	5,19	91	44.723,49
07/05/2018 00:00:00	4,45	91	22.075,46
08/05/2018 00:00:00	3,92	91	7.768,31
09/05/2018 00:00:00	4,29	91	17.995,47
10/05/2018 00:00:00	5,66	91	46.697,75
11/05/2018 00:00:00	6,94	269	76.918,58
12/05/2018 00:00:00	6,75	299	132.117,89
13/05/2018 00:00:00	5,58	309	70.654,01
14/05/2018 00:00:00	5,71	2	33.967,55
15/05/2018 00:00:00	5,79	59	52.141,21
16/05/2018 00:00:00	6,45	75	93.920,05
17/05/2018 00:00:00	7,76	78	40.481,35
18/05/2018 00:00:00	7,68	81	66.702,11
19/05/2018 00:00:00	6,59	84	70.531,18
20/05/2018 00:00:00	7,02	85	74.818,87
21/05/2018 00:00:00	4,44	88	24.227,45
22/05/2018 00:00:00	5,08	88	31.913,53
23/05/2018 00:00:00	5,15	92	37.404,53
24/05/2018 00:00:00	4,40	105	24.128,96
25/05/2018 00:00:00	6,28	95	65.300,17
26/05/2018 00:00:00	3,74	94	5.644,84
27/05/2018 00:00:00	2,85	94	3.097,61
28/05/2018 00:00:00	2,22	94	1.367,83
29/05/2018 00:00:00	3,66	94	5.045,96
30/05/2018 00:00:00	4,20	186	32.317,45
31/05/2018 00:00:00	5,44	251	29.378,41
01/06/2018 00:00:00	2,70	305	2.361,42
02/06/2018 00:00:00	3,08	299	4.767,37
03/06/2018 00:00:00	7,00	278	69.521,66
04/06/2018 00:00:00	4,66	274	19.639,01
05/06/2018 00:00:00	3,63	274	14.971,54
06/06/2018 00:00:00	3,54	274	6.722,17
07/06/2018 00:00:00	4,17	274	17.230,30
08/06/2018 00:00:00	2,73	274	15.464,77
09/06/2018 00:00:00	7,56	274	67.699,06
10/06/2018 00:00:00	3,69	275	13.746,66
11/06/2018 00:00:00	4,56	276	13.541,78
12/06/2018 00:00:00	4,93	276	14.239,50
13/06/2018 00:00:00	3,88	276	5.508,77
14/06/2018 00:00:00	3,05	276	6.087,44
15/06/2018 00:00:00	3,46	73	8.506,84
16/06/2018 00:00:00	3,65	86	11.022,70
17/06/2018 00:00:00	3,80	83	9.328,88
18/06/2018 00:00:00	4,92	82	49.095,73
19/06/2018 00:00:00	6,73	90	62.469,16
20/06/2018 00:00:00	4,35	95	19.798,23
21/06/2018 00:00:00	6,71	101	97.999,01
22/06/2018 00:00:00	8,24	96	106.196,77
23/06/2018 00:00:00	6,71	96	76.291,33
24/06/2018 00:00:00	4,80	96	30.720,23
25/06/2018 00:00:00	4,50	96	22.198,48
26/06/2018 00:00:00	3,46	96	7.766,18
27/06/2018 00:00:00	3,70	96	6.563,78
28/06/2018 00:00:00	3,08	96	6.772,96
29/06/2018 00:00:00	4,46	96	24.332,35
30/06/2018 00:00:00	4,35	162	21.357,45
01/07/2018 00:00:00	3,51	225	7.445,22
02/07/2018 00:00:00	6,16	245	44.022,77
03/07/2018 00:00:00	4,39	275	17.591,54
04/07/2018 00:00:00	3,70	310	21.030,09
05/07/2018 00:00:00	3,45	314	5.881,18
06/07/2018 00:00:00	3,33	97	5.605,54
07/07/2018 00:00:00	5,33	95	26.434,28
08/07/2018 00:00:00	5,98	113	47.338,69
09/07/2018 00:00:00	7,83	105	138.386,24
10/07/2018 00:00:00	5,83	100	57.992,03
11/07/2018 00:00:00	5,26	99	39.313,44
12/07/2018 00:00:00	4,78	99	29.867,70
13/07/2018 00:00:00	5,25	100	29.887,39
14/07/2018 00:00:00	3,43	73	5.667,52
15/07/2018 00:00:00	3,61	336	14.535,87
16/07/2018 00:00:00	3,92	312	10.922,58
17/07/2018 00:00:00	3,51	9	9.327,45
18/07/2018 00:00:00	3,89	87	15.245,39
19/07/2018 00:00:00	5,09	85	41.526,23
20/07/2018 00:00:00	4,51	84	9.862,65
21/07/2018 00:00:00	3,20	84	7.279,61
22/07/2018 00:00:00	4,65	84	29.313,25
23/07/2018 00:00:00	5,36	63	37.318,95
24/07/2018 00:00:00	2,82	350	6.120,27
25/07/2018 00:00:00	3,54	101	9.693,41
26/07/2018 00:00:00	3,46	281	4.925,09
27/07/2018 00:00:00	6,09	278	47.074,92
28/07/2018 00:00:00	3,91	321	12.895,08
29/07/2018 00:00:00	9,22	312	143.906,73
30/07/2018 00:00:00	7,22	309	68.356,41
31/07/2018 00:00:00	3,55	310	12.230,94
01/08/2018 00:00:00	5,23	83	41.311,43
02/08/2018 00:00:00	4,75	109	43.011,30
03/08/2018 00:00:00	3,25	125	3.229,53
04/08/2018 00:00:00	5,80	127	47.430,87
05/08/2018 00:00:00	4,67	128	46.333,68
06/08/2018 00:00:00	4,65	230	9.200,25
07/08/2018 00:00:00	4,12	293	4.494,98
08/08/2018 00:00:00	2,73	313	6.036,38
09/08/2018 00:00:00	5,61	344	12.209,59
10/08/2018 00:00:00	3,51	68	5,24
11/08/2018 00:00:00	3,84	80	10,52
12/08/2018 00:00:00	4,93	278	0,02
13/08/2018 00:00:00	4,21	268	1,52
14/08/2018 00:00:00	5,86	74	0,10
15/08/2018 00:00:00	5,46	70	11,16
16/08/2018 00:00:00	5,31	8	8,81
17/08/2018 00:00:00	7,69	53	0,00
18/08/2018 00:00:00	8,38	85	0,00
19/08/2018 00:00:00	7,53	80	0,00
