,link,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
16,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_polo-1-0-200-tsi-highline-automatico-2018-top-de-linha-710791746,vwvolkswagen,63900,hatch,polo,automático,2018,34170,1,flex,elétrica,azul,não,polo highline 200 tsi 1.0 flex 12v aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
17,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-new-fiesta-1-6-se-completo-ipva-2020-pago-719883038,ford,39800,passeio,fiesta,manual,2017,33000,1.6,flex,hidráulica,preto,sim,fiesta se 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
18,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-polo-1-6-msi-total-flex-manual-724711364,vwvolkswagen,50900,passeio,polo,manual,2018,19012,1.6,flex,hidráulica,preto,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, c mera de ré",0
19,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vendo-fox-1-6-716768700,vwvolkswagen,26500,hatch,fox,manual,2013,84259,1.6,flex,hidráulica,preto,não,fox 1.6 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
20,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fiesta-2014-729998640,ford,16900,hatch,fiesta,manual,2014,70000,1,flex,hidráulica,branco,0,fiesta s 1.0 8v flex 5p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, som, sensor de ré",1
21,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ecosport-freestyle-1-6-mt-e-outros-732368845,ford,58900,suv,ecosport,manual,2017,53000,1.6,flex,elétrica,prata,sim,ecosport freestyle 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
22,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_vw-1-6-robust-baixa-km-novinha-financio-60-x-1-050-00-fixas-714968909,vwvolkswagen,37900,0,saveiro,manual,2018,39000,1.6,flex,0,branco,0,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
23,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_ford-fiesta-hatch-1-5-s-flex-sem-entrada-em-ate-60x-663207533,ford,37900,hatch,fiesta,manual,2015,31000,1.5,flex,hidráulica,vermelho,sim,fiesta 1.0i 3p e 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
24,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_volkswagen-gol-1-6-msi-totalflex-trendline-4p-manual-733696832,vwvolkswagen,28693,passeio,gol,manual,2018,0,1.6,flex,hidráulica,branco,sim,0,4 portas,0,"air bag, ar condicionado, alarme",0
25,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/link_fox-1-6-confotline-imotion-638976365,vwvolkswagen,37900,hatch,fox,semiautomático,2015,52000,1.6,flex,elétrica,branco,sim,fox comfortline i motion 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
